job_category,skills,field_of_study
Data Scientist,analytical thinking | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | Deep Learning | Leadership | Microsoft PowerPoint | Microsoft Word | NumPy | presentation skills | Presentation Skills | Problem Solving | Project Coordination | project coordination | Python | Scikit-Learn | Teamwork | time management | Time Management,Computer Science
Graphic Designer,Adobe Illustrator | adobe xd | Branding | branding | communication skills | Creative Thinking | design systems | interaction design | Layout Design | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | multitasking | Presentation Skills | Print Design | Problem Solving | prototyping | responsive design | Responsive Design | teamwork | Teamwork | time management | Typography | typography | UI Design | Usability Testing | usability testing | UX Design | visual design,Multimedia
Supply Chain Executive,Big Data | Customer Service | Data Visualization | Deep Learning | ETL | Excel | Feature Engineering | Google Analytics | machine learning | Machine Learning | multitasking | problem solving | Problem Solving | Procurement | Project Coordination | python | pytorch | Shipping | SQL | sql | Statistics | TensorFlow | Time Management | Vendor Management | Warehouse Management,Logistics
Web Developer,analytical thinking | Angular | cloud deployment | Code Review | Debugging | design patterns | Design Patterns | Git | HTML | java | javascript | JavaScript | Kubernetes | Leadership | Microsoft PowerPoint | Microsoft Word | MongoDB | mongodb | Node.js | OOP | PHP | Project Coordination | python | React | Responsive Design | REST API | Spring Boot | Teamwork | Web Performance,Computer Science
UI/UX Designer,adaptability | Adobe Photoshop | Communication | Design Systems | Figma | Illustrator | Information Architecture | Microsoft Word | presentation skills | Responsive Design | Teamwork | typography | UI Design | Usability Testing | usability testing | User Flow | user research | User Research | ux design | Wireframing,Computer Science
Nurse,adaptability | Communication | Counselling | CPR | Critical Thinking | Emergency Response | Health Education | Infection Control | Leadership | medication administration | Medication Administration | Microsoft PowerPoint | Microsoft Word | patient assessment | Patient Care | Phlebotomy | presentation skills | Project Coordination | Record Keeping | Teamwork | Time Management | Vital Signs Monitoring | Wound Care,Nursing
Customer Support Executive,adaptability | attention to detail | Call Handling | Communication | critical thinking | Critical Thinking | CRM System | customer service | Customer Service | Email Support | leadership | Leadership | Live Chat | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management,Business Administration
Software Engineer,a/b testing | analytical thinking | C# | Clean Code | Code Review | communication skills | Debugging | deep learning | Feature Engineering | Java | Linux | Microservices | NumPy | numpy | pandas | power bi | python | SQL | TensorFlow | Time Management,Data Science
Project Manager,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Project | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Risk Management | Stakeholder Management | teamwork | Teamwork | time management | Time Management,Information Technology
Finance & Accounting Executive,Accounts Payable | Accounts Receivable | attention to detail | Auditing | Bank Reconciliation | Cash Flow Management | communication skills | costing | critical thinking | Critical Thinking | financial analysis | Financial Reporting | forecasting | Forecasting | General Ledger | investment analysis | multitasking | oracle finance | Oracle Finance | problem solving | profit and loss analysis | project coordination | Reconciliation | risk management | sap finance | taxation | Taxation | teamwork | time management,Banking
Cybersecurity Analyst,Access Control | adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | customer service | Customer Service | leadership | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Penetration Testing | presentation skills | Presentation Skills | Problem Solving | project coordination | Security Audit | teamwork | Teamwork | time management | Time Management | Vulnerability Assessment,Information Technology
Data Analyst,Big Data | classification models | Communication | Data Cleaning | Data Interpretation | Data Visualization | Machine Learning | microsoft powerpoint | NumPy | pandas | Pandas | Pivot Table | project coordination | python | Reporting | spark | SQL | sql | Teamwork | Time Series Analysis,Data Science
Sales Executive,attention to detail | brand management | campaign management | Campaign Management | canva | Closing Sales | Cold Calling | content marketing | conversion optimization | Customer Relationship | Digital Marketing | digital marketing | facebook ads | influencer marketing | Market Research | Marketing Analytics | Microsoft Word | Negotiation | presentation skills | problem solving | project coordination | public relations | sem | Social Media Marketing | Storytelling | Teamwork | time management | Time Management,Marketing
Mechanical Engineer,3D Modelling | AutoCAD | Critical Thinking | Customer Service | Electrical Design | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Project Coordination | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Teamwork | Technical Documentation | Technical Drawing | Time Management,Mechanical Engineering
Data Scientist,adaptability | analytical thinking | communication skills | critical thinking | Critical Thinking | customer service | Data Preprocessing | Deep Learning | Jupyter Notebook | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | Model Evaluation | multitasking | Pandas | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Scikit-Learn | Statistics | teamwork | Teamwork | time management,Artificial Intelligence
Customer Support Executive,Call Handling | Communication | communication skills | Critical Thinking | CRM System | customer service | Customer Service | Email Support | Leadership | Live Chat | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | Presentation Skills | Problem Solving | Project Coordination | Service Recovery | Teamwork | time management | Time Management,Business Administration
Sales Executive,Canva | Closing Sales | Cold Calling | CRM | Customer Service | Email Marketing | email marketing | facebook ads | Lead Generation | Market Research | Microsoft PowerPoint | Negotiation | Presentation Skills | Prospecting | Sales Target | SEM | Social Media Marketing | Time Management,Marketing
